,set_size,average_insert,average_find,collision_rate,time
0,500.0,8.578,8.578,0.564,0.0055124759674072266
1,600.0,2.9516666666666667,2.9516666666666667,0.47833333333333333,0.004954814910888672
2,700.0,5.48,5.48,0.7085714285714285,0.009549379348754883
3,800.0,5.0975,5.0975,0.5825,0.00624537467956543
4,900.0,7.025555555555556,7.025555555555556,0.7311111111111112,0.009280681610107422
5,1000.0,8.669,8.669,0.557,0.009354591369628906
6,1100.0,2.710909090909091,2.710909090909091,0.5081818181818182,0.01205134391784668
7,1200.0,3.6225,3.6225,0.5591666666666667,0.0180819034576416
8,1300.0,5.805384615384615,5.805384615384615,0.713076923076923,0.009512662887573242
9,1400.0,5.425,5.425,0.69,0.008559703826904297
10,1500.0,6.51,6.51,0.544,0.011259317398071289
11,1600.0,4.229375,4.229375,0.573125,0.009469032287597656
12,1700.0,2.719411764705882,2.719411764705882,0.5058823529411764,0.009651422500610352
13,1800.0,7.115,7.115,0.7372222222222222,0.014634370803833008
14,1900.0,5.604736842105263,5.604736842105263,0.7221052631578947,0.019278287887573242
15,2000.0,10.3285,10.3285,0.5945,0.017070770263671875
16,2100.0,5.423809523809524,5.423809523809524,0.6980952380952381,0.017175674438476562
17,2200.0,2.9286363636363637,2.9286363636363637,0.5236363636363637,0.014756202697753906
18,2300.0,2.7356521739130435,2.7356521739130435,0.5060869565217392,0.01451563835144043
19,2400.0,5.49375,5.49375,0.5716666666666667,0.021592140197753906
20,2500.0,6.5036,6.5036,0.5444,0.021648406982421875
21,2600.0,5.75076923076923,5.75076923076923,0.7069230769230769,0.020426034927368164
22,2700.0,11.768518518518519,11.768518518518519,0.8085185185185185,0.02788543701171875
23,2800.0,7.6775,7.6775,0.7239285714285715,0.025322675704956055
24,2900.0,2.757241379310345,2.757241379310345,0.5189655172413793,0.022527217864990234
25,3000.0,7.159666666666666,7.159666666666666,0.5526666666666666,0.028080463409423828
26,3100.0,6.755483870967742,6.755483870967742,0.7235483870967742,0.041778564453125
27,3200.0,7.18125,7.18125,0.5915625,0.025533437728881836
28,3300.0,2.9518181818181817,2.9518181818181817,0.51,0.021175146102905273
29,3400.0,2.7920588235294117,2.7920588235294117,0.5223529411764706,0.021018028259277344
30,3500.0,17.493714285714287,17.493714285714287,0.7137142857142857,0.038709163665771484
31,3600.0,9.515555555555556,9.515555555555556,0.7558333333333334,0.02929830551147461
32,3700.0,6.071081081081081,6.071081081081081,0.7264864864864865,0.026536941528320312
33,3800.0,6.309473684210526,6.309473684210526,0.723421052631579,0.03198814392089844
34,3900.0,5.773333333333333,5.773333333333333,0.7115384615384616,0.03214097023010254
35,4000.0,13.885,13.885,0.60425,0.037424564361572266
36,4100.0,2.815609756097561,2.815609756097561,0.5126829268292683,0.029828786849975586
37,4200.0,5.2126190476190475,5.2126190476190475,0.6983333333333334,0.029570817947387695
38,4300.0,6.327674418604651,6.327674418604651,0.7318604651162791,0.03208422660827637
39,4400.0,3.6911363636363634,3.6911363636363634,0.5470454545454545,0.025577068328857422
40,4500.0,19.518,19.518,0.7446666666666667,0.05515408515930176
41,4600.0,2.796086956521739,2.796086956521739,0.4989130434782609,0.03408646583557129
42,4700.0,2.876382978723404,2.876382978723404,0.5110638297872341,0.0388638973236084
43,4800.0,5.119583333333333,5.119583333333333,0.56625,0.041049957275390625
44,4900.0,7.551428571428572,7.551428571428572,0.7481632653061224,0.03804135322570801
45,5000.0,7.2162,7.2162,0.5534,0.04024314880371094
46,5100.0,2.7972549019607844,2.7972549019607844,0.5129411764705882,0.03307676315307617
47,5200.0,8.099038461538461,8.099038461538461,0.7321153846153846,0.04812955856323242
48,5300.0,2.749622641509434,2.749622641509434,0.5035849056603774,0.036760568618774414
49,5400.0,12.044444444444444,12.044444444444444,0.8088888888888889,0.06144452095031738
50,5500.0,7.059636363636364,7.059636363636364,0.5530909090909091,0.05108046531677246
51,5600.0,10.895,10.895,0.73375,0.060504913330078125
52,5700.0,6.681052631578948,6.681052631578948,0.724561403508772,0.057093143463134766
53,5800.0,2.719310344827586,2.719310344827586,0.5072413793103449,0.040973663330078125
54,5900.0,2.7735593220338983,2.7735593220338983,0.511864406779661,0.0431060791015625
55,6000.0,9.9175,9.9175,0.5888333333333333,0.05848121643066406
56,6100.0,6.047704918032787,6.047704918032787,0.7250819672131148,0.05731964111328125
57,6200.0,6.668064516129032,6.668064516129032,0.7275806451612903,0.09006428718566895
58,6300.0,16.18,16.18,0.8679365079365079,0.0825948715209961
59,6400.0,11.82484375,11.82484375,0.59375,0.06566405296325684
