,set_size,average_insert,average_find,time
196,39700.0,21.17962216624685,21.17962216624685,1.3558712005615234
197,39900.0,18.9503007518797,18.9503007518797,1.1812386512756348
198,40100.0,19.189426433915212,19.189426433915212,1.267723798751831
199,40300.0,19.073126550868487,19.073126550868487,1.2352397441864014
200,40500.0,18.87695992493642,18.87695992493642,1.6063461303710938
201,40700.0,19.01719901719902,19.01719901719902,1.5799133777618408
202,40900.0,18.949095354523227,18.949095354523227,1.3613948822021484
203,41100.0,19.335912408759125,19.335912408759125,1.3204305171966553
204,41300.0,19.29041162227603,19.29041162227603,1.4683263301849365
205,41500.0,18.586110508686957,18.586110508686957,1.4131457805633545
206,41700.0,19.09623501199041,19.09623501199041,1.2951598167419434
207,41900.0,19.28711902432039,19.28711902432039,1.4576032161712646
208,42100.0,20.959857482185274,20.959857482185274,1.3843729496002197
209,42300.0,20.20406619385343,20.20406619385343,1.3988473415374756
210,42500.0,19.389764705882353,19.389764705882353,1.3968756198883057
211,42700.0,19.666932084309135,19.666932084309135,1.406850814819336
212,42900.0,18.526573426573428,18.526573426573428,1.195359230041504
213,43100.0,19.024199535962875,19.024199535962875,1.3515045642852783
214,43300.0,18.963002309468823,18.963002309468823,1.4175529479980469
215,43500.0,19.73928735632184,19.73928735632184,1.340031385421753
216,43700.0,18.684058766991626,18.684058766991626,1.3180902004241943
217,43900.0,19.08498861047836,19.08498861047836,1.4390110969543457
218,44100.0,19.8724716553288,19.8724716553288,1.3962514400482178
219,44300.0,19.443453724604968,19.443453724604968,1.4688446521759033
220,44500.0,19.446876404494382,19.446876404494382,1.4280483722686768
221,44700.0,19.80744966442953,19.80744966442953,1.339721918106079
222,44900.0,18.92534521158129,18.92534521158129,1.447495698928833
223,45100.0,19.021396895787138,19.021396895787138,1.507983922958374
224,45300.0,21.1813545851914,21.1813545851914,1.5812981128692627
225,45500.0,20.726747252747252,20.726747252747252,1.5253016948699951
226,45700.0,19.80986038776314,19.80986038776314,1.810192346572876
227,45900.0,19.165424836601307,19.165424836601307,1.6996729373931885
228,46100.0,19.920715835141,19.920715835141,1.901458501815796
229,46300.0,20.693434125269977,20.693434125269977,1.850677728652954
230,46500.0,19.171720430107527,19.171720430107527,1.704103708267212
231,46700.0,19.44269807280514,19.44269807280514,1.6391487121582031
232,46900.0,20.338848614072496,20.338848614072496,1.7382681369781494
233,47100.0,19.716108622263743,19.716108622263743,1.650237798690796
234,47300.0,19.776109936575054,19.776109936575054,1.4815845489501953
235,47500.0,20.071180445904123,20.071180445904123,1.6874608993530273
236,47700.0,18.74006289308176,18.74006289308176,1.5171401500701904
237,47900.0,19.9023779202071,19.9023779202071,1.4583711624145508
238,48100.0,20.52794178794179,20.52794178794179,1.5638422966003418
239,48300.0,21.51209109730849,21.51209109730849,1.6175637245178223
240,48500.0,20.402441287449225,20.402441287449225,1.838620901107788
241,48700.0,19.64665297741273,19.64665297741273,1.62666916847229
242,48900.0,18.96359918200409,18.96359918200409,1.5327720642089844
243,49100.0,19.344317718940935,19.344317718940935,1.6580801010131836
244,49300.0,19.666970932473276,19.666970932473276,1.7212984561920166
245,49500.0,19.835771142268374,19.835771142268374,1.570493221282959
246,49700.0,19.57416498993964,19.57416498993964,1.870720386505127
247,49900.0,18.751583166332665,18.751583166332665,1.501490592956543
248,50100.0,19.546087824351297,19.546087824351297,1.678476333618164
249,50300.0,19.76888208513092,19.76888208513092,1.6976535320281982
250,50500.0,19.74370297029703,19.74370297029703,1.7131190299987793
251,50700.0,21.609506903353058,21.609506903353058,1.925100326538086
252,50900.0,19.73166466924694,19.73166466924694,1.6334288120269775
253,51100.0,19.74945205479452,19.74945205479452,1.705164909362793
254,51300.0,19.367816764132552,19.367816764132552,1.6704790592193604
255,51500.0,19.58854368932039,19.58854368932039,1.7120075225830078
256,51700.0,19.597129538288943,19.597129538288943,1.7275807857513428
257,51900.0,18.99028901734104,18.99028901734104,1.7096567153930664
258,52100.0,19.831743411581797,19.831743411581797,1.7580702304840088
259,52300.0,20.35086712939062,20.35086712939062,1.8346800804138184
260,52500.0,19.448266666666665,19.448266666666665,1.8185756206512451
261,52700.0,22.10820144977039,22.10820144977039,2.073418617248535
262,52900.0,19.7783133896671,19.7783133896671,1.7547740936279297
263,53100.0,19.76678092511677,19.76678092511677,1.8646743297576904
264,53300.0,21.072607879924952,21.072607879924952,2.0439329147338867
265,53500.0,20.174542056074767,20.174542056074767,1.9194886684417725
266,53700.0,19.30610800744879,19.30610800744879,1.8685638904571533
267,53900.0,19.92233766233766,19.92233766233766,2.0423336029052734
268,54100.0,20.05417845061831,20.05417845061831,2.0593366622924805
269,54300.0,19.68791896869245,19.68791896869245,1.898249864578247
270,54500.0,20.13108256880734,20.13108256880734,1.9226367473602295
271,54700.0,20.77091407678245,20.77091407678245,1.922151803970337
272,54900.0,19.68832422586521,19.68832422586521,2.059384822845459
273,55100.0,20.74304900181488,20.74304900181488,2.238497257232666
274,55300.0,19.74804246008065,19.74804246008065,2.2109293937683105
275,55500.0,20.32162162162162,20.32162162162162,2.175448179244995
276,55700.0,19.55430879712747,19.55430879712747,1.801361322402954
277,55900.0,19.92175313059034,19.92175313059034,1.961252212524414
278,56100.0,20.853954615946808,20.853954615946808,2.0345020294189453
279,56300.0,21.452326820603908,21.452326820603908,2.3451638221740723
280,56500.0,20.62304424778761,20.62304424778761,2.2070987224578857
281,56700.0,21.00416225749559,21.00416225749559,1.922394037246704
282,56900.0,19.764631445745017,19.764631445745017,1.841261386871338
283,57100.0,19.690082138040946,19.690082138040946,1.9416542053222656
284,57300.0,21.13811518324607,21.13811518324607,1.947479486465454
